형태소,빈도수
모닝,3
바질,3
느껴져,3
애매한,3
뮤즐리,3
였나,3
여기저기,3
여자친구,3
느끼고,3
잡지,3
그럼에도,3
까지는,3
크래커,3
맛있었,3
인거,3
콤함,3
나눠,3
에게는,3
있었음,3
허탕,3
어울려서,3
휴무,3
했다는,3
이탈리안,3
짜증,3
당황,3
고소하면서,3
기대하고,3
본연,3
넣은,3
꾸덕꾸덕,3
없긴,3
그랬다,3
괜찮아서,3
대한,3
찍은,3
괜찮,3
충만,3
가봐,3
싶고,3
없더라구요,3
한참,3
즐기고,3
되더라구요,3
카드,3
아이스티,3
얼른,3
했었는데,3
늦게,3
아니었지만,3
적당해서,3
공작,3
않았고,3
앞바다,3
낭낭,3
순위,3
만드시는,3
어느새,3
클랭,3
어울리지,3
바라보며,3
벨벳,3
남은,3
몬티,3
티나,3
왔으니,3
어른,3
많습니다,3
스모,3
골랐다,3
였는지,3
좋아하면,3
맛있더라구요,3
괜찮다와,3
리조트,3
끝내줌,3
가니쉬,3
자전거,3
앉는,3
차량,3
자꾸,3
맛있긴,3
세잔,3
올라가면,3
스타벅스,3
중문,3
윙봉,3
엘더,3
플라워,3
이었음,3
해장국,3
정숙,3
파라다이스,3
길리,3
검멀레,3
조각,2
좋아하는데도,2
감사했어요,2
궁금했는데,2
가더라도,2
좋지,2
문도,2
주택,2
예뻤던,2
색다른,2
건너편,2
보내주는,2
유명한데,2
좋았구,2
책상,2
찍어요,2
돼있고,2
납니다,2
와이파이,2
입력,2
조용해서,2
디스플레이,2
ㅠㅠㅠㅠㅠ,2
마시,2
안좋아,2
튀겨,2
베어,2
대구,2
시키세요,2
나게,2
비린,2
아닌거,2
맞아,2
굿굿,2
긋한,2
갑니다,2
훤히,2
더해,2
보나,2
맛있었으나,2
박하,2
종일,2
반복,2
오오오,2
언제나,2
뿌려,2
물리,2
케첩,2
조미료,2
볼것,2
들이,2
아무튼,2
미미,2
어울려요,2
튀는,2
이도,2
입자,2
동남아,2
먹으니까,2
남길게요,2
로스,2
터리,2
않아도,2
즈음,2
게이샤,2
모르겠으나,2
에너지,2
젊은,2
핑크,2
빠지게,2
겪고,2
아쉬웠습니다,2
왔으면,2
거나,2
산뜻하고,2
서빙,2
주시는데,2
있는지를,2
있다니,2
친절하시구,2
는걸,2
깔끔했습니다,2
줘서,2
적당,2
촉촉,2
갈것,2
친절함은,2
맛있다니,2
드시,2
모르겠습니다,2
되었습니다,2
느껴짐,2
해주신,2
복판,2
같다는,2
알겠다,2
어렵고,2
마셔도,2
고소하다,2
밸런스,2
셜록홈즈,2
하시는데,2
피스타치오,2
섞어서,2
덩어리,2
올려놓은,2
친절해요,2
찐한,2
반하고,2
로운,2
시피,2
설득,2
알갱이,2
강하지,2
주면,2
사먹을,2
닿아,2
현재,2
반감,2
되었음,2
아쉽고,2
영혼,2
멍멍,2
귀엽다,2
찾아서,2
나은,2
만족스럽다,2
쌉쌀하고,2
마시러,2
입가심,2
없습니다,2
써요,2
놀랐네요,2
전세,2
먹으며,2
들르면,2
마차,2
성지,2
크런치,2
맛있으니,2
가봐야지,2
소프트아이스크림,2
비싸지,2
지나간다면,2
쉬었다,2
친절함,2
찍을수,2
가보면,2
만들어주시고,2
제조,2
눈꽃,2
조림,2
함량,2
메기,2
알았음,2
기대하면,2
기준,2
아몬드,2
통팥,2
텁텁하,2
들어있는데,2
단것,2
초딩,2
요시,2
까지만,2
배송,2
인터뷰,2
만들고,2
팥소,2
먹어요,2
먹었음,2
되는지는,2
감칠맛,2
소진,2
개별,2
담날,2
들러서,2
명성,2
본적,2
이는,2
여행가,2
금고,2
고유,2
사면,2
들려서,2
